ID,Maths,Science
1,96,95
2,43,90
3,78,90
4,40,95
5,73,94
6,100,55
7,62,71
8,82,82
9,53,83
10,57,52
11,98,96
12,90,96
13,72,79
14,60,79
15,60,84
16,81,68
17,93,86
18,85,56
19,49,65
20,46,47
21,48,88
22,54,75
23,60,90
24,76,70
25,80,54
26,64,47
27,85,84
28,76,97
29,76,43
30,73,60
31,81,49
32,64,98
33,83,54
34,54,56
35,72,85
36,59,87
37,74,74
38,45,61
39,49,53
40,81,94
41,77,84
42,86,42
43,59,70
44,67,76
45,59,99
46,97,60
47,83,47
48,96,80
49,62,70
50,45,67
51,96,75
52,79,97
53,83,79
54,64,40
55,94,66
56,95,55
57,45,99
58,97,87
59,78,61
60,90,87
61,81,57
62,45,51
63,63,94
64,71,68
65,53,67
66,41,79
67,84,86
68,57,69
69,61,83
70,53,79
71,77,57
72,40,56
73,90,40
74,90,95
75,79,66
76,45,94
77,62,43
78,83,99
79,45,59
80,79,73
81,78,87
82,50,99
83,56,49
84,75,66
85,52,98
86,79,100
87,64,86
88,87,77
89,64,88
90,62,55
91,85,65
92,59,55
93,78,42
94,68,99
95,52,93
96,99,94
97,61,65
98,68,74
99,67,88
100,83,54
101,87,55
102,72,74
103,84,50
104,60,55
105,70,89
106,77,47
107,56,87
108,48,61
109,78,71
110,62,77
111,58,40
112,93,58
113,89,85
114,65,61
115,87,59
116,82,61
117,69,82
118,81,60
119,71,67
120,78,98
121,99,94
122,90,91
123,68,67
124,73,48
125,49,86
126,40,75
127,82,54
128,98,86
129,65,78
130,54,88
131,97,65
132,68,91
133,63,90
134,81,86
135,87,45
136,92,55
137,51,58
138,78,69
139,63,99
140,92,74
141,67,50
142,61,84
143,79,43
144,72,97
145,58,86
146,65,93
147,74,89
148,82,87
149,40,45
150,68,66
151,53,68
152,61,61
153,45,89
154,67,42
155,91,68
156,80,90
157,76,41
158,100,75
159,85,82
160,88,64
161,42,99
162,61,59
163,74,43
164,46,84
165,85,57
166,74,44
167,90,64
168,83,94
169,88,58
170,80,49
171,99,91
172,89,64
173,95,41
174,93,61
175,88,64
176,89,69
177,94,75
178,86,78
179,66,51
180,46,49
181,86,64
182,59,51
183,96,50
184,63,90
185,90,51
186,92,44
187,55,95
188,58,48
189,75,72
190,41,75
191,87,57
192,40,43
193,83,69
194,78,46
195,80,100
196,99,92
197,97,75
198,52,78
199,65,81
200,73,74
201,41,51
202,58,50
203,56,43
204,73,42
205,50,95
206,70,94
207,74,83
208,74,73
209,85,87
210,58,82
211,84,76
212,50,99
213,55,46
214,79,77
215,48,59
216,89,55
217,67,45
218,97,99
219,63,95
220,49,78
221,54,72
222,91,86
223,76,45
224,96,77
225,71,63
226,76,80
227,78,76
228,70,47
229,76,93
230,68,70
231,51,79
232,53,99
233,99,70
234,77,98
235,91,68
236,55,65
237,54,92
238,41,93
239,40,54
240,42,56
241,95,73
242,48,56
243,77,80
244,56,65
245,59,98
246,44,73
247,80,42
248,66,68
249,83,88
250,70,79
251,92,79
252,47,95
253,75,52
254,88,50
